Year,SDG Series,Type of product,Value
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,0.0
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,9.20527
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.3796
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.28766
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.2859
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.28409
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.27971
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.27683
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.25056
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.3679
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.24377
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.36942
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.46075
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.45818
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.45818
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,8.45818
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,2.35632
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.17276
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.0736
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.04078
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,0.98682
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.03574
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.4567
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.3202
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.41224
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.53841
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.56239
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.5149
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.54026
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.55143
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.54152
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,8.22846
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,5.71294
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.61474
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.61441
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,5.93429
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,5.92554
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.087
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.00826
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.13573
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.09666
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.09877
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.37471
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.35629
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.35214
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,6.38319
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,13.4141
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.03258
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,11.93885
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,11.93118
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,11.93564
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,11.93305
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.64994
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.58423
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.60541
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.49591
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.63832
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.51725
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.49842
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.51712
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,12.33708
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,2.40868
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.32353
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.15889
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.11387
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.05793
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.12545
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.51009
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.31725
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.36346
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.54679
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.56823
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.48417
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.51128
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.52061
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,1.51174
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.29983
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.16938
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,0.0
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.40766
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,7.4389
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,7.34614
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,7.34438
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,7.34257
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,7.3382
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.22067
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.1944
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.36596
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.24183
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.36748
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.45871
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.45614
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.45614
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,8.45613
